,LIED CARROLL PUBLIC LIBRARY,506 MAIN STREET,PO BOX 215,CARROLL,68723,WAYNE,(402) 369-0531,Three Rivers Library System,186,186,0,0,,,,,,,,676,,CI,SO,PL1,Y,ME,N,1,0,1/1/2024,12/31/2024,,,,,,,,$0,,,,,$0,,,$0 ,$0,,,,,$0,$0,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,0,0,0,,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
,LIED IMPERIAL PUBLIC LIBRARY,703 BROADWAY,PO BOX 728,IMPERIAL,69033,CHASE,(308) 882-4754,Western Library System,"1,969","1,969",0,0,1927,2005,Yes,No,No,No,,"10,392",52,CI,SO,PL1,Y,ME,N,1,"2,340",10/1/2023,9/30/2024,"$90,006",,,Chase,"$4,000",,,"$94,006","$1,108",,$0,$0,"$1,108",$0,,$0 ,$0,$0,$0,"Copies, fines, fees, donations","$9,955","$9,955","$105,069",$0,$0,$0,$0,$0,Yes,Cardholders living outside the city taxi,$10.00,$20.00,385,"$102,175","$53,341","$155,516",1,1,1,1,1,1,1,1,1,1,Disability Insurance,"$10,137","$1,500",$521,"$12,158","$1,663","$1,590","$1,071",$591,"$32,344","$37,259","$204,933",$0,"29,767",665,901,"29,531",185,0,37,148,"1,646",62,3,"1,705",25,0,4,21,cake pans deco equip pickle ball sets,1,59,0,60,"31,599",786,941,"31,444",,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"2,621","8,620",CT - Annual Count,72,CT - Annual Count,616,CT - Annual Count,"7,205","12,845",8,"20,058","1,451",559,"2,010",980,9,989,"2,458",403,"2,861",0,0,0,"5,860","12,094","13,816","25,918",Yes,No,Yes,No,No,No,0,110,0,N/A,,35,49,84,0,14,6,104,104,0,0,104,554,428,982,0,120,339,"1,441","1,441",0,0,"1,441",0,0,0,12,0,3,Yes,63,No,0,No,0,Yes – for all items,1,1,1,1,"Magazines, cake pans, other physical items, etc.",0,0,0,,0,,1,Yes,34,Yes,,1,,1,,No,Alexandria,Yes,8,DNS Filter,ALLO,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Data443,732,630,Yes -Temporary or shared space for makerspace,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Heat press,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,No,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,,2,80,2,0,0,0.00,1,3,0.08,2,Library Director,$24.07,3,6,Beth Falla,Library Director,2/5/2025
,LIED LINCOLN TOWNSHIP LIBRARY,603 E. NORRIS ST.,PO BOX H,WAUSA,68786,KNOX,(402) 586-2454,Three Rivers Library System,578,729,0,0,2014,2016,Yes,No,No,No,N/A,4600,52,CI,SO,CD1,Y,ME,N,1,"1,050",7/1/2023,6/30/2024,$0,Lincoln Township,"$24,360",Knox,"$5,000",,,"$29,360",$924,$0,$900,0,"$1,824",$547,,$0 ,$547,$0,"$1,045",Donations,"$16,720","$17,765","$49,496",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,4,"$16,748","$1,972","$18,720",,,1,,1,,,1,,1,N/A,"$4,613",$500,$100,"$5,213",$0,$846,"$1,328",$869,"$24,189","$27,232","$51,165","$15,807","13,089",639,295,"13,433",459,2,0,461,"1,298",69,2,"1,365",7,0,2,5,"Puzzles, Cricut cartridges, Telescopes,",324,15,0,339,"15,170",725,297,"15,598",N/A,35,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,802,"2,100",ES - Annual Estimate Based on Typical Week(s),420,ES - Annual Estimate Based on Typical Week(s),850,ES - Annual Estimate Based on Typical Week(s),"2,410","3,465",350,"6,225",872,87,959,585,0,585,399,51,450,0,0,0,"1,994","4,266","3,603","8,219",No,No,Yes,Yes,No,No,0,188,0,No,N/A,42,68,110,69,39,13,231,222,9,0,231,528,757,"1,285",314,466,331,"2,396","2,190",206,0,"2,396",0,0,0,15,13,15,Yes,23,Yes,4,Yes,9,Yes – for all items,1,1,1,1,N/A,,1,1,1,1,N/A,,Yes,30,Yes,,,1,1,,No,Follett,Yes,9,DNSfilter,Great Plains Communications,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,N/A,102,87,Yes - Permanently allocated makerspace,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Telescopes,Yes - Informal or one on one training,,,Yes - Formal training or programs,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Formal training or programs,,No,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Formal training or programs,No,No,No,No,No,No,No,No,N/A,1,20,0.50,0,0,0.00,0,0,0.00,0.50,Director,$15.00,4,28,Wendy Ketelsen,Director,2/6/2025
,LIED PIERCE PUBLIC LIBRARY,207 WEST COURT,PO BOX 39,PIERCE,68767,PIERCE,(402) 329-6324,Three Rivers Library System,"1,822","1,822",0,0,2001,2001,Yes,No,No,No,n/a,"6,500",52,CI,SO,PL1,Y,ME,N,1,"2,236",10/1/2023,9/30/2024,"$175,994",,,Pierce,"$10,000",,,"$185,994","$1,325",$0,$0,$0,"$1,325",$0,,$0 ,$0,$346,$0,fines,$552,$898,"$188,217",$0,$0,$0,$0,$0,No,,,,0,"$88,373","$34,491","$122,864",1,1,1,1,1,1,1,1,1,1,,"$10,441","$2,034",$0,"$12,475",$298,"$2,889",$350,$330,"$39,987","$43,854","$179,193",$0,"18,139",717,"1,393","17,463",521,0,222,299,"1,202",0,391,811,12,0,4,8,cake pans,139,0,0,139,"20,001",717,"2,006","18,712",,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"2,951","16,376",CT - Annual Count,"1,486",CT - Annual Count,530,CT - Annual Count,"4,225","5,470",97,"9,792",940,217,"1,157",263,7,270,863,166,"1,029",0,0,0,"2,456","6,291","5,860","12,248",Yes,No,Yes,No,No,No,26,137,0,Yes,2716,8,12,20,0,0,14,34,33,1,0,34,296,91,387,0,0,261,648,606,42,0,648,0,0,,"1,776",18,65,Yes,107,No,,No,,Yes – for all items,1,1,1,1,magazine,,1,1,1,1,,,Yes,225,Yes,,1,,1,,No,Book Systems,Yes,11,DNS filter,Pierce Telephone,Fiber Optic,Yes,na,N/A,Over 1 Gbps,Yes,Deep Freeze,467,226,Yes - Permanently allocated makerspace,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,na,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes,6,2,80,2,0,0,0.00,2,10,0.25,2,Director,$21.87,10,5,Jen Thompson,Director,12/16/2024
,LIED RANDOLPH PUBLIC LIBRARY,111 NORTH DOUGLAS,PO BOX 307,RANDOLPH,68771,CEDAR,(402) 337-0046,Three Rivers Library System,877,877,0,0,2007,,Yes,No,No,No,,"6,084",52,CI,SO,PL1,Y,ME,N,1,"1,820",10/1/2023,9/30/2024,"$74,001",,,Cedar,"$6,500",,,"$80,501","$1,161",$0,$0,$0,"$1,161",$0,,$0 ,$0,$0,$0,"DONATIONS, MAKERSPACE, COPIES","$14,438","$14,438","$96,100","$7,000",$0,$0,"$10,200","$17,200",No,N/A,$0,$0,0,"$40,734","$7,418","$48,152",,,,1,1,,,1,1,1,N/A,"$10,819",$850,$896,"$12,565",$214,"$1,171",$669,$0,"$33,830","$35,884","$96,601","$16,796","14,433",979,532,"14,880",149,0,0,149,"1,798",27,8,"1,817",14,0,2,12,"games, kits , pans",128,122,2,248,"16,508","1,128",542,"17,094",n/a,n/a,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,567,"10,167",CT - Annual Count,475,ES - Annual Estimate Based on Typical Week(s),"1,006",CT - Annual Count,"4,944","9,023",110,"14,077",647,88,735,141,3,144,"1,583",211,"1,794",0,0,0,"2,673","7,315","9,325","16,750",Yes,No,Yes,No,No,No,0,110,0,No,n/a,76,73,149,11,6,5,171,166,5,0,171,"1,566","1,057","2,623",18,38,779,"3,458","2,679",779,0,"3,458",0,0,0,825,0,,Yes,,Yes,,No,,No,,,,,,,,,,,,,Yes,95,,,1,,1,,No,Follett,Yes,12,OpenDNS,Sparklight,Cable,Yes,n/a,N/A,100.0 Mbps - 1 Gbps,Yes,Data443,336,48,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,heat press,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,n/a,5,59,1,0,0,0.00,0,0,0.00,1,Director,$18.60,20,2,Peggy Leiting,Director,1/23/2025
,LIED SCOTTSBLUFF PUBLIC LIBRARY,1809 3RD AVENUE,1809 3RD AVENUE,SCOTTSBLUFF,69361,SCOTTS BLUFF,308-630-6250,Western Library System,"14,305","14,305",0,0,1966,2021,Yes,No,No,No,NA,"22,800",52,CI,SO,PL1,Y,ME,N,1,"2,912",10/1/2023,9/30/2024,"$856,700",,,,,,,"$856,700","$2,100",$0,$0,$0,"$2,100",$0,,$0 ,$0,$396,$0,Fees for library services,"$10,307","$10,703","$869,503",$0,$0,$0,$0,$0,No,NA,N/A,N/A,,"$361,210","$181,719","$542,929",1,1,1,1,1,1,1,1,1,1,Tuition Reimbursement,"$36,314","$9,874","$3,198","$49,386","$1,030","$18,736",$0,"$3,005","$189,617","$212,388","$804,703","$298,615","60,712","2,468","14,680","48,500","1,477",95,251,"1,321","3,626",120,528,"3,218",57,0,12,45,"games, puzzles, book buddies, CD players",457,36,121,372,"66,272","2,719","15,580","53,411","Federal documents, newspaper microfilm, city ordinance books, city directories, Western heritage Collection, local publications.",192,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"33,091","71,636",CT - Annual Count,"21,243",CT - Annual Count,"9,991",CT - Annual Count,"29,337","47,616",533,"77,486","14,126","1,713","15,839","3,284",26,"3,310","19,113","2,819","21,932",0,0,0,"41,081","65,860","52,174","118,567",Yes,No,Yes,Yes,No,No,223,589,0,Yes,NA,74,69,143,24,48,90,305,247,57,1,305,"3,578","3,696","7,274",240,893,"4,911","13,318","7,646","5,669",3,"13,318",1,43,69,48,1,51,Yes,"1,463",Yes,193,Yes,183,No,0,0,0,0,,1,0,0,0,0,,1,Yes,"1,743",Yes,0,0,0,0,,No,SirsiDynix,Yes,22,cybersitter,Allo Communications,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Data443,224,126,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,N/A,14,410,10,1,40,1,0,0,0.00,10,Director,$42.00,15,15,Richard Landreth,Director,12/23/2024
,LIED TEKAMAH PUBLIC LIBRARY,204 SOUTH 13TH STREET,204 SOUTH 13TH STREET,TEKAMAH,68061,BURT,(402) 374-2453,Three Rivers Library System,"1,715","1,715",0,0,1916,2013,Yes,No,No,No,,"5,077",52,CI,SO,PL1,Y,ME,N,1,"2,704",10/1/2023,9/30/2024,"$188,982",,,Burt,"$1,500",,,"$190,482","$1,022",$0,$844,$0,"$1,866","$13,777",,$0 ,"$13,777",$0,$75,"Fees, Dollar General Grant, ALA","$12,750","$12,825","$218,950",$0,$0,$0,$0,$0,Yes,Residents outside of Burt County,$20,$20,0,"$86,709","$23,977","$110,686",1,1,,1,1,1,1,1,1,1,13 paid holidays,"$14,690",$500,"$1,100","$16,290",$216,"$1,100",$200,$0,"$36,086","$37,602","$164,578",$0,"18,141","1,452","3,988","15,605",469,0,0,469,838,55,329,564,43,1,6,38,"cake pans, puzzles, games",30,31,0,61,"19,478","1,538","4,317","16,699","headphones, iPads, yearbooks, newspapers",100,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,550","5,797",CT - Annual Count,600,ES - Annual Estimate Based on Typical Week(s),520,ES - Annual Estimate Based on Typical Week(s),"4,203","4,128",28,"8,359","1,349",103,"1,452",223,0,223,"1,304",133,"1,437",0,0,0,"3,112","7,079","4,364","11,471",No,No,Yes,Yes,No,No,0,43,0,No,,46,119,165,5,33,3,206,206,0,0,206,660,238,898,5,55,72,"1,030","1,030",0,0,"1,030",0,0,0,6,3,2,Yes,45,Yes,2,Yes,0,No,,,,,,1,,,,,,1,Yes,105,No,1,1,,1,,No,Apollo,Yes,4,DNSFilter,Fast Wyre,Fiber Optic,No,NA,N/A,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,53,51,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,Yes - Informal or one on one training,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,0,1,32,0.80,0,0,0.00,4,42,1,2,Library Director,$27.00,1,1,Gabby Mahon,Library Director,1/27/25
,LIED WINSIDE PUBLIC LIBRARY,417 MAIN STREET,PO BOX 217,WINSIDE,68790,WAYNE,(402) 286-1122,Three Rivers Library System,372,372,0,0,2003,,Yes,No,No,No,,"3,600",52,CI,SO,PL1,Y,ME,N,1,"1,040",10/1/2023,9/30/2024,"$30,137",,,Wayne,"$4,250",,,"$34,387",$665,$500,$0,$0,"$1,165",$0,,$0 ,$0,$0,"$1,500",Donations & Fines and Fees,"$2,804","$4,304","$39,856",$0,$0,$0,$0,$0,No,0,$0,$0,0,"$18,080","$5,179","$23,259",,,,,,,,1,1,1,,"$4,575",$500,"$1,574","$6,649","$1,074",$495,$0,"$3,367","$2,762","$7,698","$37,606",$0,"12,151",287,102,"12,336",0,0,0,0,552,25,30,547,25,0,0,25,puzzles and games,125,35,0,160,"12,828",347,132,"13,043",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,390,"2,506",CT - Annual Count,702,ES - Annual Estimate Based on Typical Week(s),98,ES - Annual Estimate Based on Typical Week(s),960,"4,162",229,"5,351",231,66,297,72,3,75,252,45,297,0,0,0,669,"1,515","4,276","6,020",No,No,Yes,No,No,No,0,170,0,No,0,22,26,48,0,7,25,80,30,50,0,80,282,248,530,0,33,796,"1,359",508,851,0,"1,359",0,0,0,3,2,0,Yes,44,Yes,2,Yes,12,Yes – for some patrons,1,1,,1,,1,1,1,1,1,,,Yes,65,Yes,,,,,,Yes,Library World,Yes,6,titan hq,connecting point,DSL,Yes,1047,CT - Annual Count,18.1 Mbps - 24.0 Mbps,Yes,deep freeze,20,20,Yes - Permanently allocated makerspace,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,iron press for t-shirts,,,,Yes - Informal or one on one training,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,0,2,27,0.68,0,0,0.00,1,6,0.15,0.83,Librarian,$18.00,0,0,Lara Lanphear,Librarian Director,2/10/25
,LINCOLN CITY LIBRARIES,136 SO. 14TH STREET,136 SO. 14TH STREET,LINCOLN,68508,LANCASTER,(402) 441-8500,Southeast Library System,"294,757","326,716",7,1,1963,1978,Yes,Yes,No,No,N/A,"64,000",52,CI,MO,CO1,Y,ME,N,1,"24,972",9/1/2023,8/31/2024,"$10,061,111",,,Lancaster,"$998,418","Keno, interest","$1,304,297","$12,363,826","$52,993","$1,174","$1,000","$53,242","$108,409",$0,,$0 ,$0,"$1,266",$0,fines fees donations bk sales,"$614,485","$615,751","$13,087,986","$35,346",$0,$0,$0,"$35,346",Yes,Users living outside Lancaster County,$60.00,$60.00,60,"$5,697,283","$2,224,911","$7,922,194",1,1,1,,1,1,,1,,1,N/A,"$708,076","$1,068,868","$133,405","$1,910,349","$296,379","$127,238","$4,857","$32,228","$1,929,215","$2,389,917","$12,222,460","$6,857","651,037","48,200","49,417","649,820","43,690","1,216","3,626","41,280","65,207","3,815","4,033","64,989",153,0,13,140,"Music instruments, headphones, vid games","3,173",76,134,"3,115","763,107","53,307","57,210","759,204",Microfilm and Microfiche,N/A,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,"220,231","822,109",CT - Annual Count,"131,976",ES - Annual Estimate Based on Typical Week(s),"89,094",CT - Annual Count,"814,339","1,229,277","6,782","2,050,398","307,028","95,455","402,483",0,0,0,"437,334","87,609","524,943","9,793","1,957","11,750","939,176","1,568,494","1,414,298","2,989,574",Yes,No,Yes,Yes,No,No,968,"1,349",0,N/A,N/A,"1,969",444,"2,413",237,595,342,"3,587","2,929",556,102,"3,587","48,811","18,396","67,207","4,681","4,897","11,202","87,987","63,935","23,984",68,"87,987",0,0,0,9,,,Yes,"8,692",Yes,"1,337",Yes,"5,843",No,,,,,,,,,,,,,Yes,"3,371",Yes,,,,,,No,SirsiDynix Symphony,Yes,157,Websence,Network Nebraska,Fiber Optic,Yes,1512882,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,,655,163,Yes -Temporary or shared space for makerspace,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,,No,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,No,No,No,No,No,No,No,No,,23,870,22,23,870,22,120,"3,400",85,107,Director,$83.32,231,183,Ryan Wieber,Director,2/13/2025
,LITCHFIELD PUBLIC LIBRARY,102 WEST BUFFORD STREET,PO BOX 79,LITCHFIELD,68852,SHERMAN,(308) 446-2285,Central Plains Library System,219,219,0,0,,,,,,,,714,,CI,SO,PL1,N,ME,N,1,0,7/1/2023,6/30/2024,,,,,,,,$0,,,,,$0,,,$0 ,$0,,,,,$0,$0,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,0,0,0,,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
,LOGAN COUNTY LIBRARY,317 MAIN STREET,P. O. BOX 8,STAPLETON,69163,LOGAN,(308) 636-2343,Central Plains Library System,246,655,0,0,1963,,Yes,No,No,No,,728,52,CO,SO,CO1,Y,ME,N,1,832,7/1/2023,6/30/2024,$0,,,Logan County,"$23,556",,,"$23,556",$868,$0,$0,$0,$868,$0,,$0 ,$0,$0,$0,Donation,$246,$246,"$24,670",$0,$0,$0,$0,$0,No,,N/A,N/A,0,"$9,194",$818,"$10,012",,,,,,1,,1,,,,$121,$500,$0,$621,$0,$0,$0,$0,$525,$525,"$11,158",$0,"6,748",500,500,"6,748",0,0,0,0,0,0,0,0,0,1,0,1,None,31,31,0,62,"6,779",531,500,"6,810",N/A,0,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,140,"1,315",ES - Annual Estimate Based on Typical Week(s),50,ES - Annual Estimate Based on Typical Week(s),30,ES - Annual Estimate Based on Typical Week(s),400,300,0,700,344,29,373,7,1,8,782,98,880,0,0,0,"1,261","1,533",428,"1,961",No,No,Yes,No,No,No,0,30,0,N/A,,5,5,10,0,0,1,11,10,1,0,11,20,20,40,0,0,20,60,40,20,0,60,0,0,0,3,1,2,Yes,30,No,N/A,No,N/A,No,,,,,,1,,,,,,1,Yes,5,No,,,,,,No,Integrated computer systems,Yes,2,Integrated computer systems,Great Plains Communication,DSL,Yes,N/A,N/A,24.1 Mbps - 50.0 Mbps,N/A,N/A,51,47,Yes - Permanently allocated makerspace,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,Yes - Informal or one on one training,,,No,,,,,,,,,,,,No,No,No,No,No,No,No,No,,1,16,0.40,0,0,0.00,0,0,0.00,0.40,Director,$12.50,0,0,Julia Ramirez,Director,11/5/2024
,LOIS JOHNSON MEMORIAL LIBRARY,406 5TH STREET,PO BOX 187,OAKDALE,68761,ANTELOPE,(402) 776-2602,Three Rivers Library System,271,271,0,0,1900,2017,Yes,No,No,No,n/a,"1,200",52,CI,SO,PL1,Y,ME,N,1,864,10/1/2023,9/30/2024,"$4,247",,,Antelope,"$3,605",,,"$7,852",$841,$0,$0,$0,$841,$0,,$0 ,$0,$0,$0,Donations and fund raisers,"$12,189","$12,189","$20,882",$0,$0,$0,$0,$0,No,n/a,$0,$0,0,"$11,504",$907,"$12,411",,,,,,,,,,,,$105,$0,$0,$105,$0,$0,$0,$0,"$1,286","$1,286","$13,802",$0,"7,016",55,193,"6,878",0,0,0,0,164,37,0,201,0,0,0,0,Cake Pans,7,0,0,7,"7,187",92,193,"7,086",,,No,No,No,No,No,No,No,No,No,No,No,No,25,470,CT - Annual Count,40,ES - Annual Estimate Based on Typical Week(s),37,CT - Annual Count,198,54,21,273,0,0,0,0,0,0,0,0,0,0,0,0,0,198,54,273,No,No,Yes,No,No,No,0,0,0,No,,6,15,21,14,12,8,55,55,0,0,55,9,14,23,10,21,12,66,66,0,0,66,0,0,0,0,0,0,Yes,0,Yes,0,Yes,0,No,,,,,,,,,,,,,No,,,,,,,,Yes,none,Yes,1,none,Great Plains,DSL,Yes,n/a,CT - Annual Count,3.1 Mbps - 6.0 Mbps,No,,n/a,5,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,none,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,n/a,1,18,0.45,0,0,0.00,0,0,0.00,0.45,Director,$15.00,0,0,Fae Dunn,Director,1/8/2025
,LOUISVILLE PUBLIC LIBRARY,217 MAIN STREET,PO BOX 39,LOUISVILLE,68037,CASS,402-234-6265,Three Rivers Library System,"1,408","1,408",0,0,1915,N/A,Yes,No,No,No,N/A,"9,443",52,CI,SO,PL1,Y,ME,N,1,"1,768",10/1/2023,9/30/2024,"$34,367",,,,,,,"$34,367",$769,$0,$511,$0,"$1,280",$0,,$0 ,$0,$0,$0,"Grants, memorials,faxes,intres","$2,484","$2,484","$38,131",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,29,"$17,778","$1,360","$19,138",,,,,,,,,1,1,,"$5,573",$500,$37,"$6,110",$0,1100,$0,$0,"$23,762","$24,862","$50,110",$254,"13,185","1,300",709,"13,776",345,0,4,341,"2,351",28,170,"2,209",12,1,2,11,"pans, games, puzzles, activity totes",200,172,5,367,"16,081","1,500",888,"16,693",headphones,416,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,481,"7,990",CT - Annual Count,12,ES - Annual Estimate Based on Typical Week(s),1950,ES - Annual Estimate Based on Typical Week(s),"2,547","6,228",78,"8,853","1,196",156,"1,352",502,0,502,"2,827",377,"3,204",0,0,0,"5,058","7,072","6,761","13,911",No,No,Yes,No,No,No,0,1,0,N/A,,7,7,14,0,10,0,24,20,4,0,24,507,508,"1,015",0,60,0,"1,075",352,723,0,"1,075",0,0,0,600,39,172,Yes,75,No,N/A,No,N/A,No,,,,,,,,,,,,,No,,N/A,,,,,,No,Biblionix Apollo,Yes,6,N/A,Country Mile Wireless,DSL,Yes,N/A,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,No,,78,55,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,cruicut,,,,,,,,Yes - Informal or one on one training,No,,No,,,,,,,,No,No,No,Yes - Informal or one on one training,No,No,No,No,,1,34,0.85,0,0,0.00,0,0,0.00,0.85,Librarian,$13.05,1,8,Michelle Daniels,librarian,1/22/2025
,LOUP CITY LIBRARY,800 NORTH 8TH STREET,800 NORTH 8TH STREET,LOUP CITY,68853,SHERMAN,(308) 745-1589,Central Plains Library System,"1,062","2,983",0,0,1997,1997,Yes,No,No,No,,"7,000",52,CI,SO,CO1,Y,ME,N,1,"1,508",7/1/2023,6/30/2024,$0,,,Sherman County,"$50,734",Loup City Public Schools,"$62,000","$112,734","$1,404",$0,$0,$0,"$1,404",$0,,$0 ,$0,$0,$0,"Citizen Bank Donation,Memorial",$735,$735,"$114,873",$0,$0,$0,$0,$0,No,,$0,$0,1,"$77,820","$38,261","$116,081",1,,,1,1,1,1,1,,1,,"$10,955",$500,$200,"$11,655","$2,644",$750,$0,$150,"$1,500","$5,044","$132,780",$0,"22,509","1,187",1429,"22,267",125,0,1,124,235,45,1,279,11,7,8,10,"puzzles, cake pans",60,3,0,63,"22,929","1,235","1,431","22,733","Board games, cards, headphones, microfilm",100,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,"1,822","11,679",ES - Annual Estimate Based on Typical Week(s),56,CT - Annual Count,750,ES - Annual Estimate Based on Typical Week(s),"4,695","9,599",100,"14,394","1,132",168,"1,300",39,0,39,901,100,"1,001",0,0,0,"2,340","6,767","9,867","16,734",No,No,Yes,No,No,No,0,23,0,No,,114,13,127,10,13,3,153,86,67,0,153,"1,340",207,"1,547",110,127,380,"2,164",707,"1,457",0,"2,164",0,0,0,5,5,0,Yes,75,Yes,5,Yes,30,No,,,,,,,,,,,,,Yes,2,No,,1,,1,Nursing Home and Independent Living Facility,No,OPALS,Yes,10,Fortigate and Securely,ESU-10,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,291,77,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Laminator,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Informal or one on one training,No,,3,52,1,0,0,0.00,1,3,0.08,1,Library Director,$19.84,2,4,Audrey Heil,Director,1/7/2025
